Birre;;;;
Baffo D'oro 20 cl;3;;;
Martin's Rossa  20 cl                ;3,5;;;
SANPATRIZIO  20 cl;3;;;
RUSSA        20 cl;3;;;
ISTRIANA     20 cl;3;;;
PANACHE'   20 cl;3;;;
Baffo D'oro 40cl;4,5;;;
Martin's Rossa     40 cl          ;5;;;
SANPATRIZIO   40 cl;4,5;;;
RUSSA        40 cl;4,5;;;
ISTRIANA     40 cl;4,5;;;
PANACHE'   40 cl;4,5;;;
Baffo D'oro litro;10;;;
Martin's Rossa  litro              ;12;;;
Beck's                                                                  ; 3 ;;;
Beck's Blue                                                                 ; 3 ;;;
Ceres ; 3 ;;;
Corona Extra                                     ; 3 ;;;
Desperados; 3 ;;;
Franziskaner Bionda               ; 4 ;;;
Franziskaner  rossa ; 4 ;;;
Guinness                                  ; 3 ;;;
Paulaner hefe                                               ; 4 ;;;
Erdinger                           ; 4 ;;;
Tennent`s Super                 ; 3 ;;;
No Glutine; 3 ;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Vini;;;;
Bianco Calice; 2 ;;;
Bianco 1/4 lt; 3 ;;;
Bianco 1/2 lt; 4 ;;;
Rosso Calice; 2 ;;;
Rosso 1/4 lt; 3 ;;;
Rosso 1/2 lt; 4 ;;;
 Arneis Langhe; 11 ;;;
 Arneis Langhe Bevione; 13 ;;;
 Arneis Roero     ; 13 ;;;
 Cortese Piemonte ; 10 ;;;
 Erbaluce                                             ; 13 ;;;
 Favorita ; 13 ;;;
 Favorita Langhe; 10 ;;;
 Greco di Tufo                          ; 16 ;;;
 Ribolla Gialla                          ; 10 ;;;
 Insolia                                                                                ; 13 ;;;
 Traminer ; 10 ;;;
Aglianico                       ; 10 ;;;
Barbera  piemonte ; 10 ;;;
Barbera Borgo Lame; 11 ;;;
Barbera d'Alba; 14 ;;;
Barbera d'Alba; 12 ;;;
Barbera Dogliani ; 11 ;;;
Bonarda ; 10 ;;;
Bonarda Piemonte; 12 ;;;
Cannonau              ; 11 ;;;
Chardonay Piemonte; 10 ;;;
Chianti ; 13 ;;;
Dolcetto  Langhe ; 11 ;;;
Dolcetto Borgo Lame; 11 ;;;
Dolcetto D.O.C.G; 14 ;;;
Dolcetto Dogliani; 11 ;;;
Montepulciano ; 10 ;;;
Nebbiolo Langhe; 12 ;;;
Nero d'Avola  ; 13 ;;;
Primitivo del Salento ; 10 ;;;
Primitivo Manduria ; 16 ;;;
Rosato Langhe; 13 ;;;
Ruchè ; 17 ;;;
Spumante doc     ; 13 ;;;
Sangria 1/2 lt; 7 ;;;
Sangria litro; 13 ;;;
;;;;
BIBITE  lattina ;;;;
Amari; 3 ;;;
Baileys; 3 ;;;
Genepi ; 3 ;;;
Limoncello; 3 ;;;
Sambuca Molinari; 3 ;;;
Zedda Piras Mirto; 3 ;;;
Grappa barriche gialla; 3 ;;;
Grappa Candolini Bianca; 3 ;;;
Grappa Gratacul ; 3 ;;;
;;;;
Acqua   nat 0,50 lt; 1 ;;;
Acqua gas 0,50 lt; 1 ;;;
Acqua   nat litro; 2 ;;;
Acqua  gas litro; 2 ;;;
CAFFETTERIA ;;;;
Caffè; 1 ;;;
Caffè corretto; 2 ;;;
Caffè Orzo; 2 ;;;
Caffè Decaffeinato; 2 ;;;
Caffè con panna; 2 ;;;
Cappuccino; 2 ;;;
Marocchino Nutella; 3 ;;;
Marocchino Nutella e panna; 4 ;;;
Caffè shakerato; 3 ;;;
Caffè shakerato corretto; 4 ;;;
Cioccolata; 3 ;;;
Cioccolata con panna; 4 ;;;
Cioccolata  (rum o sambuca); 4 ;;;
The e Tisane     ; 3 ;;;
Pizze;;;;
Margherita;5;;;
Acciughina;6;;;
Acetina;7;;;
Bufala;7;;;
Bismark;7;;;
Cantinetta;7;;;
Country;7;;;
Formaggi;6;;;
FunghiSalsi;8;;;
GorgoCipo;6;;;
Greca;6;;;
Ligure;6;;;
Parmigiana;7;;;
Piccantina;6;;;
Porcini;8;;;
Prosciutto;6;;;
Rustica;7;;;
Salsiccia;6;;;
SalsiCipo;6;;;
SalsiFria;7;;;
Trentina;7;;;
Vegetariana;6;;;
Venariese;7;;;
Wurstel;6;;;
Padano;7;;;
Romana;7;;;
Pugliese;7;;;
Emiliana;7;;;
Fumè;7;;;
Genovese;7;;;
Delizia dell'orto;8;;;
Rinforzi  ;1;;;
;;;;
Antipasti;;;;
Cantinetti; 5 ;;;
Cantinetti & Gorgo o Fond; 9 ;;;
Melanzane alla pizzaiola; 8 ;;;
Tagliere dell'estate; 11 ;;;
Tagliere crudo; 12 ;;;
Tagliere cotto; 12 ;;;
Antipasto Vegan; 8 ;;;
Bruschette;;;;
Pomodoro e origano; 5 ;;;
La bufalina; 7 ;;;
Salsiccia; 7 ;;;
Gamberi; 7 ;;;
Parma; 7 ;;;
Primi;;;;
Agnolotti al traminer; 9 ;;;
Strozzapreti ; 8 ;;;
Orecchiette; 8 ;;;
Gnocchi alla sorrentina; 8 ;;;
Gnocchi ai formaggi; 8 ;;;
Tagliatelle asparagi e gamb; 9 ;;;
Secondi;;;;
Spiedoni alla piastra (300 gr); 10 ;;;
Arrosticini alla piastra (10 Pz); 10 ;;;
Grigliata Mista (500 gr); 17 ;;;
Madrillas di capocollo; 10 ;;;
Filetto di maiale; 10 ;;;
Filetto di Fassona; 10 ;;;
Maxipiatti;;;;
Hamburger di fassona 200 gr; 14 ;;;
Hamburger di bufalo 200 gr; 14 ;;;
Rustichella di pollo e  cotto ; 14 ;;;
filetto di maiale alla piastra; 14 ;;;
Vegetariano; 12 ;;;
Hamburger vegetariano; 12 ;;;
Patatine fritte; 3 ;;;
Patatine fritte porzione del re; 4 ;;;
Dolci;;;;
Cantinetti & nutella; 5 ;;;
Focaccia alla nutella; 5 ;;;
Panini;;;;
House; 8 ;;;
Grattacielo; 10 ;;;
Guardia; 5 ;;;
hw; 6 ;;;
Hot Dog; 4 ;;;
Cotto; 5 ;;;
Burger; 4 ;;;
Funghi'B; 6 ;;;
Gorgo'B; 5 ;;;
Onion'b; 5 ;;;
Pata'B; 5 ;;;
Pig'B; 5 ;;;
Funghi'S; 6 ;;;
Gorgo'S; 5 ;;;
Menda'S; 5 ;;;
Onion'S; 5 ;;;
Salsiccia; 4 ;;;
